Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ss_Plate4.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-06 16:52:39 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
F8,Fe_T2_R1_Ss_S4-11,C,UNKNOWN,VIC,NFQ-MGB,30.9945449829,30.9624862671,0.0453392193,,,,1,0.02,1,3,29,,Y,N,N
F8,Fe_T2_R1_Ss_S4-11,D,UNKNOWN,FAM,NFQ-MGB,32.695640564,32.0326156616,0.9376561046,,,,1,0.02,1,3,31,,Y,N,N
F9,Fe_T2_R1_Ss_S5-14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
F9,Fe_T2_R1_Ss_S5-14,D,UNKNOWN,FAM,NFQ-MGB,28.8061447144,28.6726989746,0.1887194216,,,,1,0.02,1,3,27,,N,Y,Y
F10,Fe_T2_R1_Ss_S5-25,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,Y,Y,Y
F10,Fe_T2_R1_Ss_S5-25,D,UNKNOWN,FAM,NFQ-MGB,33.4391593933,34.0312728882,0.8373749256,,,,1,0.02,1,3,32,,Y,Y,Y
F11,Fe_T2_R1_Ss_S6-1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
F11,Fe_T2_R1_Ss_S6-1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
F12,Fe_T2_R1_Ss_S6-12,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,36.1628684998,,,,,1,0.02,1,3,39,,Y,N,Y
F12,Fe_T2_R1_Ss_S6-12,D,UNKNOWN,FAM,NFQ-MGB,29.2543926239,30.075258255,1.1608792543,,,,1,0.02,1,3,27,,Y,N,Y
G1,Fe_T2_R1_Ss_S1-6,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
G2,Fe_T2_R1_Ss_S1-9,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
