Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate14.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-19 15:26:41 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C?? Mean,C?? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
F4,C_T0_R2_Ss_S3-20,Ssid,UNKNOWN,FAM,NFQ-MGB,22.1692619324,22.3308105469,0.2284642458,,,,0,0.02,1,3,20,,N,N,N
F5,C_T0_R2_Ss_S3-20,C,UNKNOWN,VIC,NFQ-MGB,29.4492645264,29.4874534607,0.054008659,,,,0,0.02,1,3,28,,N,N,N
F5,C_T0_R2_Ss_S3-20,D,UNKNOWN,FAM,NFQ-MGB,25.3079891205,25.380607605,0.1026993915,,,,0,0.02,1,3,23,,N,N,N
F6,C_T0_R2_Ss_S3-20,C,UNKNOWN,VIC,NFQ-MGB,29.5256443024,29.4874534607,0.054008659,,,,0,0.02,1,3,28,,N,N,N
F6,C_T0_R2_Ss_S3-20,D,UNKNOWN,FAM,NFQ-MGB,25.4532279968,25.380607605,0.1026993915,,,,0,0.02,1,3,23,,N,N,N
F7,C_T1_R1_Ss_S1-26,C,UNKNOWN,VIC,NFQ-MGB,26.3103961945,26.4703292847,0.2261795402,,,,0,0.02,1,3,25,,N,Y,Y
F7,C_T1_R1_Ss_S1-26,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
F8,C_T1_R1_Ss_S1-26,C,UNKNOWN,VIC,NFQ-MGB,26.6302623749,26.4703292847,0.2261795402,,,,0,0.02,1,3,25,,N,Y,Y
F8,C_T1_R1_Ss_S1-26,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
F9,C_T1_R1_Ss_S1-26,Ssid,UNKNOWN,FAM,NFQ-MGB,19.8249721527,19.9989776611,0.2460795939,,,,0,0.02,1,3,17,,N,N,N
F10,C_T1_R1_Ss_S1-26,Ssid,UNKNOWN,FAM,NFQ-MGB,20.1729812622,19.9989776611,0.2460795939,,,,0,0.02,1,3,17,,N,N,N
F11,C_T1_R1_Ss_S1-26,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
F12,C_T1_R1_Ss_S1-26,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
G1,C_T0_R2_Ss_S4-3,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
G2,C_T0_R2_Ss_S4-3,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
G3,C_T0_R2_Ss_S4-3,Ssid,UNKNOWN,FAM,NFQ-MGB,22.5904846191,22.3327770233,0.364453584,,,,0,0.02,1,3,20,,N,N,N
G4,C_T0_R2_Ss_S4-3,Ssid,UNKNOWN,FAM,NFQ-MGB,22.0750694275,22.3327770233,0.364453584,,,,0,0.02,1,3,19,,N,N,N
G5,C_T0_R2_Ss_S4-3,C,UNKNOWN,VIC,NFQ-MGB,25.6734638214,25.8351287842,0.2286301255,,,,0,0.02,1,3,24,,N,N,N
G5,C_T0_R2_Ss_S4-3,D,UNKNOWN,FAM,NFQ-MGB,25.1906261444,25.4038047791,0.3014801145,,,,0,0.02,1,3,23,,N,N,N
G6,C_T0_R2_Ss_S4-3,C,UNKNOWN,VIC,NFQ-MGB,25.9967956543,25.8351287842,0.2286301255,,,,0,0.02,1,3,24,,N,N,N
G6,C_T0_R2_Ss_S4-3,D,UNKNOWN,FAM,NFQ-MGB,25.6169834137,25.4038047791,0.3014801145,,,,0,0.02,1,3,24,,N,N,N
G7,C_T1_R1_Ss_S2-11,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
G7,C_T1_R1_Ss_S2-11,D,UNKNOWN,FAM,NFQ-MGB,25.9282341003,25.8765640259,0.0730725229,,,,0,0.02,1,3,24,,N,Y,Y
G8,C_T1_R1_Ss_S2-11,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
G8,C_T1_R1_Ss_S2-11,D,UNKNOWN,FAM,NFQ-MGB,25.8248939514,25.8765640259,0.0730725229,,,,0,0.02,1,3,24,,N,Y,Y
G9,C_T1_R1_Ss_S2-11,Ssid,UNKNOWN,FAM,NFQ-MGB,23.0304355621,22.8071956635,0.3157089055,,,,0,0.02,1,3,21,,N,N,N
G10,C_T1_R1_Ss_S2-11,Ssid,UNKNOWN,FAM,NFQ-MGB,22.5839557648,22.8071956635,0.3157089055,,,,0,0.02,1,3,20,,N,N,N
